method,target_label,k,theta,num_inputs,coverage,coverage_theta,coverage_unconstrained_flip,median_cost,mean_cost,median_cost_covered_only,mean_cf_drop,mean_cf_drop_covered_only,flip_rate,valid_recourse_rate,runtime_sec
ours_selected_subgraph,1,10,0.05,1443,0.015246015246015246,0.015246015246015246,0.8905058905058905,0.038404817500307234,0.03848780658248063,0.038404817500307234,0.5317042454059888,0.2936433467062837,0.8905058905058905,0.9708939708939709,10939.229246616364
ours_selected_subgraph,1,10,0.1,1443,0.07692307692307693,0.07692307692307693,0.8905058905058905,0.06666666666666667,0.06666819256575354,0.06666666666666667,0.5211614947321693,0.32182921494238814,0.8905058905058905,0.9708939708939709,10939.229246616364
ours_selected_subgraph,1,10,0.15,1443,0.15107415107415106,0.15107415107415106,0.8905058905058905,0.09887218045112782,0.09584128708107897,0.09887218045112782,0.5120107815221844,0.3817279240019476,0.8905058905058905,0.9708939708939709,10939.229246616364
ours_selected_subgraph,1,10,0.2,1443,0.23700623700623702,0.23700623700623702,0.8905058905058905,0.12871287128712872,0.12489578662829998,0.12871287128712872,0.5069794464974802,0.4081950653391499,0.8905058905058905,0.9708939708939709,10939.229246616364
ours_selected_subgraph,1,20,0.05,1443,0.01593901593901594,0.01593901593901594,0.9126819126819127,0.0379746835443038,0.038194685937417636,0.0379746835443038,0.5576281797077951,0.2958037809074598,0.9126819126819127,0.9743589743589743,10939.229246616364
ours_selected_subgraph,1,20,0.1,1443,0.08316008316008316,0.08316008316008316,0.9126819126819127,0.06776966556759303,0.0673667683338264,0.06776966556759303,0.5460280905510492,0.31958188800648,0.9126819126819127,0.9743589743589743,10939.229246616364
ours_selected_subgraph,1,20,0.15,1443,0.1690921690921691,0.1690921690921691,0.9126819126819127,0.10087619624775901,0.09719096594317278,0.10087619624775901,0.5350914010310778,0.36938489147403475,0.9126819126819127,0.9743589743589743,10939.229246616364
ours_selected_subgraph,1,20,0.2,1443,0.25571725571725573,0.25571725571725573,0.9126819126819127,0.1262135922330097,0.1238950412901686,0.1262135922330097,0.5294823506137022,0.4018699784315367,0.9126819126819127,0.9743589743589743,10939.229246616364
gt_fullgraph_greedy,1,10,0.05,1443,0.013167013167013167,0.013167013167013167,1.0,0.0423728813559322,0.039143613165124436,0.0423728813559322,0.5233822872209499,0.561561984238856,1.0,1.0,10939.229246616364
gt_fullgraph_greedy,1,10,0.1,1443,0.035343035343035345,0.035343035343035345,1.0,0.06779661016949153,0.06539666342844008,0.06779661016949153,0.5233822872209499,0.5748956411870246,1.0,1.0,10939.229246616364
gt_fullgraph_greedy,1,10,0.15,1443,0.0595980595980596,0.0595980595980596,1.0,0.09312179739850217,0.08817990626044314,0.09312179739850217,0.5233822872209499,0.5986132199838115,1.0,1.0,10939.229246616364
gt_fullgraph_greedy,1,10,0.2,1443,0.0997920997920998,0.0997920997920998,1.0,0.12570714862978472,0.12374566717915064,0.12570714862978472,0.52344696728563,0.6053292514280266,1.0,1.0,10939.229246616364
gt_fullgraph_greedy,1,20,0.05,1443,0.01593901593901594,0.01593901593901594,1.0,0.0423728813559322,0.03810235359838465,0.0423728813559322,0.5568265006651633,0.5701309145161564,1.0,1.0,10939.229246616364
gt_fullgraph_greedy,1,20,0.1,1443,0.04573804573804574,0.04573804573804574,1.0,0.06656162166766033,0.06480535839167652,0.06656162166766033,0.5568265006651633,0.580096126775832,1.0,1.0,10939.229246616364
gt_fullgraph_greedy,1,20,0.15,1443,0.08177408177408177,0.08177408177408177,1.0,0.09348516949152542,0.09052268170029282,0.09348516949152542,0.5568265006651633,0.604808504959953,1.0,1.0,10939.229246616364
gt_fullgraph_greedy,1,20,0.2,1443,0.1365211365211365,0.1365211365211365,1.0,0.13043478260869565,0.12545663652615444,0.13043478260869565,0.5568911807298433,0.6122203665260705,1.0,1.0,10939.229246616364
