method,action_source,selection_rank,motif_rank,motif_smiles,canonical_motif_smiles,atom_count,bond_count,valid_motif,source,source_fragment_rank,source_input_count,source_input_indices,selection_mode,selection_score,selection_cf_value,selection_coverage_gain,selection_redundancy,selection_size_penalty,failure_reason
gt_fullgraph_greedy,mcs_deleted_motif,1,66,CC,CC,2,1,True,fullgraph_mcs_difference,,2,211|230,camc_mmr,13.623715157180053,0.3675970279800672,0.6673596673596673,0.0,0.058519374657825904,ok
gt_fullgraph_greedy,mcs_deleted_motif,2,9,c1ccccc1,c1ccccc1,6,6,True,fullgraph_mcs_difference,,11,364|655|805|829|837|1043|1044|1045|1054|1252|1372,camc_mmr,3.114647051912061,0.42483957707659614,0.14137214137214138,0.0,0.1755581239734777,ok
gt_fullgraph_greedy,mcs_deleted_motif,3,117,OCCO,OCCO,4,3,True,fullgraph_mcs_difference,,2,430|431,camc_mmr,1.174009446733172,0.5931754211839162,0.036729036729036726,0.0,0.11703874931565181,ok
gt_fullgraph_greedy,mcs_deleted_motif,4,134,C=CC,C=CC,3,2,True,fullgraph_mcs_difference,,1,285,camc_mmr,1.0559298889026838,0.4729785045223773,0.040194040194040194,0.14285714285714285,0.08777906198673885,ok
gt_fullgraph_greedy,mcs_deleted_motif,5,19,Cc1occc1C(N)=S,Cc1occc1C(N)=S,9,9,True,fullgraph_mcs_difference,,5,603|630|656|659|660,camc_mmr,0.6147545377937155,0.9052380952380952,0.0,0.043478260869565216,0.26333718596021655,ok
gt_fullgraph_greedy,mcs_deleted_motif,6,25,CNC,CNC,3,2,True,fullgraph_mcs_difference,,4,305|306|703|996,camc_mmr,0.6141573680959136,0.4558633386143993,0.02079002079002079,0.2,0.08777906198673885,ok
gt_fullgraph_greedy,mcs_deleted_motif,7,577,FC(F)Sc1ccccn1,FC(F)Sc1ccccn1,10,10,True,fullgraph_mcs_difference,,1,1219,camc_mmr,0.5606847061292033,0.8866666666666666,0.0,0.08695652173913043,0.2925968732891295,ok
gt_fullgraph_greedy,mcs_deleted_motif,8,44,Cc1cn(C2CC(N=[N+]=[N-])C(COC=O)O2)c(=O)[nH]c1=O,Cc1cn(C2CC(N=[N+]=[N-])C(COC=O)O2)c(=O)[nH]c1=O,21,22,True,fullgraph_mcs_difference,,3,547|581|978,camc_mmr,0.5388600830007441,0.9683333767602372,0.0,0.07352941176470588,0.614453433907172,ok
gt_fullgraph_greedy,mcs_deleted_motif,9,239,CC1=C(C=S)SCCO1,CC1=C(C=S)SCCO1,9,9,True,fullgraph_mcs_difference,,1,511,camc_mmr,0.5001655108786017,0.8333333333333334,0.0,0.125,0.26333718596021655,ok
gt_fullgraph_greedy,mcs_deleted_motif,10,415,COC(CC[Se]C)NO,COC(CC[Se]C)NO,9,8,True,fullgraph_mcs_difference,,1,1442,camc_mmr,0.4786032946537524,0.7699222297189383,0.0,0.08333333333333333,0.26333718596021655,ok
gt_fullgraph_greedy,mcs_deleted_motif,11,75,CCCC(c1cc(Cl)c(O)c(C(=O)O)c1)c1cc(Cl)c(O)c(C(=O)O)c1,CCCC(c1cc(Cl)c(O)c(C(=O)O)c1)c1cc(Cl)c(O)c(C(=O)O)c1,26,27,True,fullgraph_mcs_difference,,2,688|1368,camc_mmr,0.4292444665545068,0.8783333333333334,0.001386001386001386,0.10416666666666667,0.7607518705517368,ok
gt_fullgraph_greedy,mcs_deleted_motif,12,537,Cc1coc(C)c1C=S,Cc1coc(C)c1C=S,9,9,True,fullgraph_mcs_difference,,1,489,camc_mmr,0.4282929618589939,0.84,0.0,0.23529411764705882,0.26333718596021655,ok
gt_fullgraph_greedy,mcs_deleted_motif,13,684,Nc1ccc(S(N)(=O)=O)cc1SS,Nc1ccc(S(N)(=O)=O)cc1SS,13,13,True,fullgraph_mcs_difference,,1,82,camc_mmr,0.42491752244754255,0.7533333333333333,0.0,0.09090909090909091,0.3803759352758684,ok
gt_fullgraph_greedy,mcs_deleted_motif,14,794,O=[Se],O=[Se],2,1,True,fullgraph_mcs_difference,,1,535,camc_mmr,0.4239441876026523,0.5883333333333334,0.0,0.041666666666666664,0.058519374657825904,ok
gt_fullgraph_greedy,mcs_deleted_motif,15,426,COP(=O)OC,CO[PH](=O)OC,6,5,True,fullgraph_mcs_difference,,1,1197,camc_mmr,0.42228941321612734,0.4936381138143331,0.007623007623007623,0.10344827586206896,0.1755581239734777,ok
gt_fullgraph_greedy,mcs_deleted_motif,16,592,N=C(N)S,N=C(N)S,4,3,True,fullgraph_mcs_difference,,1,217,camc_mmr,0.41925966365459627,0.6478613154588196,0.000693000693000693,0.1111111111111111,0.11703874931565181,ok
gt_fullgraph_greedy,mcs_deleted_motif,17,682,Nc1ccc(Cl)cc1,Nc1ccc(Cl)cc1,8,8,True,fullgraph_mcs_difference,,1,1091,camc_mmr,0.4089599090584407,0.727655418898025,0.0,0.14705882352941177,0.23407749863130362,ok
gt_fullgraph_greedy,mcs_deleted_motif,18,542,Cc1noc(C(F)(F)S)n1,Cc1noc(C(F)(F)S)n1,10,10,True,fullgraph_mcs_difference,,1,1379,camc_mmr,0.3985367274869453,0.7,0.0,0.10526315789473684,0.2925968732891295,ok
gt_fullgraph_greedy,mcs_deleted_motif,19,459,CSc1cccc(C)c1,CSc1cccc(C)c1,9,9,True,fullgraph_mcs_difference,,1,93,camc_mmr,0.39844939366248455,0.7314285714285714,0.0,0.15384615384615385,0.26333718596021655,ok
gt_fullgraph_greedy,mcs_deleted_motif,20,600,N=Cc1ccc[nH]1,N=Cc1ccc[nH]1,7,7,True,fullgraph_mcs_difference,,1,102,camc_mmr,0.3905092610191402,0.6899432555123216,0.0,0.14285714285714285,0.20481781130239066,ok
