method,action_source,selection_rank,motif_rank,motif_smiles,canonical_motif_smiles,atom_count,bond_count,valid_motif,source,source_fragment_rank,source_input_count,source_input_indices,selection_mode,selection_score,selection_cf_value,selection_coverage_gain,selection_redundancy,selection_size_penalty,failure_reason
gt_fullgraph_greedy,mcs_deleted_motif,1,23,CC,CC,2,1,True,fullgraph_mcs_difference,,4,20|894|951|1026,camc_mmr,13.623715157180053,0.3675970279800672,0.6673596673596673,0.0,0.058519374657825904,ok
gt_fullgraph_greedy,mcs_deleted_motif,2,11,c1ccccc1,c1ccccc1,6,6,True,fullgraph_mcs_difference,,9,725|805|987|1021|1261|1372|1373|1383|1384,camc_mmr,3.114647051912061,0.42483957707659614,0.14137214137214138,0.0,0.1755581239734777,ok
gt_fullgraph_greedy,mcs_deleted_motif,3,118,OCCO,OCCO,4,3,True,fullgraph_mcs_difference,,2,430|431,camc_mmr,1.174009446733172,0.5931754211839162,0.036729036729036726,0.0,0.11703874931565181,ok
gt_fullgraph_greedy,mcs_deleted_motif,4,68,CC=Cc1ccccc1,CC=Cc1ccccc1,9,9,True,fullgraph_mcs_difference,,2,718|719,camc_mmr,0.9490386343792228,0.5482113368082085,0.036036036036036036,0.1875,0.26333718596021655,ok
gt_fullgraph_greedy,mcs_deleted_motif,5,458,COCCCN=[N+]=[N-],COCCCN=[N+]=[N-],8,7,True,fullgraph_mcs_difference,,1,1337,camc_mmr,0.6440314759924403,0.7979682683771506,0.005544005544005544,0.05,0.23407749863130362,ok
gt_fullgraph_greedy,mcs_deleted_motif,6,42,CNC,CNC,3,2,True,fullgraph_mcs_difference,,3,230|242|703,camc_mmr,0.6280173819559274,0.4558633386143993,0.021483021483021482,0.2,0.08777906198673885,ok
gt_fullgraph_greedy,mcs_deleted_motif,7,270,CC1=C(C(N)=S)SCCO1,CC1=C(C(N)=S)SCCO1,10,10,True,fullgraph_mcs_difference,,1,511,camc_mmr,0.5883235021158254,0.89,0.0,0.05128205128205128,0.2925968732891295,ok
gt_fullgraph_greedy,mcs_deleted_motif,8,550,Cc1occc1C(=S)Nc1ccc(Cl)cc1,Cc1occc1C(=S)Nc1ccc(Cl)cc1,16,17,True,fullgraph_mcs_difference,,1,521,camc_mmr,0.5256275748952919,0.9575925925925924,0.0,0.14285714285714285,0.46815499726260723,ok
gt_fullgraph_greedy,mcs_deleted_motif,9,91,Cc1ccsc1C=S,Cc1ccsc1C=S,8,8,True,fullgraph_mcs_difference,,2,600|629,camc_mmr,0.4515401912708241,0.7933333333333334,0.0,0.16129032258064516,0.23407749863130362,ok
gt_fullgraph_greedy,mcs_deleted_motif,10,545,Cc1nn(C(=O)Cc2ccccc2)c2c1CSC(=N)N2,Cc1nn(C(=O)Cc2ccccc2)c2c1CSC(=N)N2,20,22,True,fullgraph_mcs_difference,,1,744,camc_mmr,0.44176682361562103,0.8872222222222224,0.0,0.1320754716981132,0.585193746578259,ok
gt_fullgraph_greedy,mcs_deleted_motif,11,542,Cc1coc(C)c1C(N)=S,Cc1coc(C)c1C(N)=S,10,10,True,fullgraph_mcs_difference,,1,489,camc_mmr,0.4403650821574053,0.8966666666666666,0.0,0.2702702702702703,0.2925968732891295,ok
gt_fullgraph_greedy,mcs_deleted_motif,12,584,FC(F)C(F)(F)F,FC(F)C(F)(F)F,7,6,True,fullgraph_mcs_difference,,1,149,camc_mmr,0.43455465660928283,0.62,0.0,0.0,0.20481781130239066,ok
gt_fullgraph_greedy,mcs_deleted_motif,13,811,O=[Se],O=[Se],2,1,True,fullgraph_mcs_difference,,1,535,camc_mmr,0.4318987330571978,0.5883333333333334,0.0,0.030303030303030304,0.058519374657825904,ok
gt_fullgraph_greedy,mcs_deleted_motif,14,604,N=NC[S-],N=NC[S-],4,3,True,fullgraph_mcs_difference,,1,1156,camc_mmr,0.4203755546924839,0.6366666666666666,0.0,0.07692307692307693,0.11703874931565181,ok
gt_fullgraph_greedy,mcs_deleted_motif,15,15,Cc1occc1C=S,Cc1occc1C=S,8,8,True,fullgraph_mcs_difference,,7,546|564|566|598|599|628|658,camc_mmr,0.4195349921688507,0.8814285714285715,0.0,0.3076923076923077,0.23407749863130362,ok
gt_fullgraph_greedy,mcs_deleted_motif,16,93,N=C(N)S,N=C(N)S,4,3,True,fullgraph_mcs_difference,,2,217|1072,camc_mmr,0.41925966365459627,0.6478613154588196,0.000693000693000693,0.1111111111111111,0.11703874931565181,ok
gt_fullgraph_greedy,mcs_deleted_motif,17,825,Oc1nccnn1,Oc1nccnn1,7,7,True,fullgraph_mcs_difference,,1,899,camc_mmr,0.4172213232759495,0.6733333333333333,0.0,0.08571428571428572,0.20481781130239066,ok
gt_fullgraph_greedy,mcs_deleted_motif,18,275,CC1CCN(SS)CC1,CC1CCN(SS)CC1,9,9,True,fullgraph_mcs_difference,,1,225,camc_mmr,0.4127766219897129,0.6633333333333333,0.0,0.05555555555555555,0.26333718596021655,ok
gt_fullgraph_greedy,mcs_deleted_motif,19,729,Nc1ccc(S(N)(=O)=O)cc1SS,Nc1ccc(S(N)(=O)=O)cc1SS,13,13,True,fullgraph_mcs_difference,,1,82,camc_mmr,0.4031880324253696,0.7533333333333333,0.0,0.12195121951219512,0.3803759352758684,ok
gt_fullgraph_greedy,mcs_deleted_motif,20,394,CCSC1=NCC(Cl)=N1,CCSC1=NCC(Cl)=N1,9,9,True,fullgraph_mcs_difference,,1,1214,camc_mmr,0.4005472313087093,0.67,0.0,0.08064516129032258,0.26333718596021655,ok
